X,Y
1.70370713479687E-13,sin(-3.141592653589793)
-0.09983341664675227,sin(-3.041592653589793)
-0.19866933079502833,sin(-2.941592653589793)
-0.2955202066623718,sin(-2.841592653589793)
-0.3894183423091038,sin(-2.7415926535897928)
-0.47942553860439646,sin(-2.6415926535897927)
-0.5646424733951155,sin(-2.5415926535897926)
-0.6442176872377232,sin(-2.4415926535897925)
-0.7173560908984099,sin(-2.3415926535897924)
-0.7833269096270383,sin(-2.2415926535897923)
-0.841470984807726,sin(-2.1415926535897922)
-0.8912073600613731,sin(-2.041592653589792)
-0.9320390859672051,sin(-1.941592653589792)
-0.9635581854180849,sin(-1.841592653589792)
-0.9854497299887693,sin(-1.7415926535897919)
-0.997494986604155,sin(-1.6415926535897918)
-0.9995736030415353,sin(-1.5415926535897917)
-0.9916648104524769,sin(-1.4415926535897916)
-0.9738476308777816,sin(-1.3415926535897915)
-0.946300087687303,sin(-1.2415926535897914)
-0.9092974268256543,sin(-1.1415926535897913)
-0.8632093666488673,sin(-1.0415926535897913)
-0.8084964038198981,sin(-0.9415926535897913)
-0.7457052121767762,sin(-0.8415926535897913)
-0.6754631805511582,sin(-0.7415926535897913)
-0.5984721441039558,sin(-0.6415926535897913)
-0.5155013718214074,sin(-0.5415926535897914)
-0.4273798802338244,sin(-0.4415926535897914)
-0.3349881501559031,sin(-0.3415926535897914)
-0.23924932921398465,sin(-0.2415926535897914)
-0.1411200080598654,sin(-0.1415926535897914)
-0.04158066243328873,sin(-0.04159265358979139)
0.05837414342758174,sin(0.058407346410208616)
0.15774569414325024,sin(0.15840734641020862)
0.2555411020268417,sin(0.2584073464102086)
0.3507832276896214,sin(0.35840734641020866)
0.4425204432948477,sin(0.45840734641020864)
0.5298361409084125,sin(0.5584073464102086)
0.611857890942722,sin(0.6584073464102086)
0.6877661591839872,sin(0.7584073464102086)
0.7568024953080067,sin(0.8584073464102085)
0.8182771110648145,sin(0.9584073464102085)
0.8715757724135815,sin(1.0584073464102086)
0.9161659367494217,sin(1.1584073464102087)
0.9516020738893772,sin(1.2584073464102088)
0.9775301176645869,sin(1.3584073464102089)
0.9936910036334753,sin(1.458407346410209)
0.9999232575641382,sin(1.558407346410209)
0.9961646088359625,sin(1.6584073464102091)
0.9824526126247028,sin(1.7584073464102092)
0.958924274663129,sin(1.8584073464102093)
0.9258146823277051,sin(1.9584073464102094)
0.8834546557200776,sin(2.0584073464102093)
0.8322674422236979,sin(2.1584073464102094)
0.772764487555464,sin(2.2584073464102095)
0.7055403255690961,sin(2.3584073464102095)
0.6312666378723556,sin(2.4584073464102096)
0.5506855425977278,sin(2.5584073464102097)
0.46460217941397786,sin(2.65840734641021)
0.37387666483075477,sin(2.75840734641021)
0.2794154982001042,sin(2.85840734641021)
0.18216250427205474,sin(2.95840734641021)
0.08308940281740601,sin(3.05840734641021)
